MONTH/YEAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JANUARY,16,17,17,19,21,22,23,16,26,27
FEBRUARY,18,15,18,19,21,22,24,25,29,27
MARCH,16,18,19,20,22,24,25,24,26,29
APRIL,17,17,18,19,21,25,26,24,23,27
MAY,16,19,20,21,21,23,23,24,26,27
JUNE,14,17,18,19,21,22,23,26,26,28
JULY,10,14,11,10,15,16,17,24,25,27
AUGUST,17,17,18,19,21,22,23,24,28,27
SEPTEMBER,20,20,21,21,21,19,23,27,26,24
OCTOBER,27,16,18,23,23,22,21,24,26,27
NOVEMBER,16,17,20,20,24,24,25,25,27,26
DECEMBER,16,17,18,19,21,23,23,25,24,28
