MONTH/YEAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JANUARY,24,27,39,38,43,45,45,40,41,45
FEBRUARY,26,28,29,31,32,34,36,39,41,44
MARCH,28,30,28,30,31,33,35,38,40,43
APRIL,27,26,27,29,30,32,34,37,39,47
MAY,26,31,26,28,29,31,33,36,38,41
JUNE,28,26,25,27,28,30,32,35,37,40
JULY,26,27,24,26,27,29,31,35,36,39
AUGUST,29,28,30,32,33,35,37,40,42,45
SEPTEMBER,26,29,31,33,34,36,38,41,43,46
OCTOBER,27,26,32,34,35,37,39,42,44,46
NOVEMBER,25,27,33,35,36,38,40,43,45,48
DECEMBER,27,28,34,36,37,39,41,43,46,45
