MONTH/YEAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JANUARY,25,22,23,26,28,22,26,33,28,34
FEBRUARY,16,17,18,19,20,22,23,24,26,27
MARCH,15,16,17,18,19,21,22,23,25,26
APRIL,14,15,16,17,18,20,21,22,24,25
MAY,13,14,15,16,17,19,20,21,23,24
JUNE,12,13,14,15,16,18,19,20,22,23
JULY,15,12,13,14,15,17,18,19,21,22
AUGUST,18,18,19,20,21,23,24,25,27,28
SEPTEMBER,17,19,20,21,22,24,25,26,28,29
OCTOBER,19,20,21,22,23,25,26,27,29,30
NOVEMBER,20,21,22,23,24,26,27,28,30,31
DECEMBER,21,22,23,24,25,27,28,29,31,32
