MONTH/YEAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JANUARY,20,21,28,32,25,28,31,37,33,38
FEBRUARY,19,20,21,22,24,25,26,27,29,30
MARCH,18,19,20,21,23,24,25,26,28,29
APRIL,17,15,19,20,22,23,24,25,27,28
MAY,16,17,18,19,21,22,23,24,26,27
JUNE,15,16,17,18,20,21,22,23,25,26
JULY,14,15,16,17,19,20,21,22,24,25
AUGUST,20,21,22,23,25,26,27,28,30,31
SEPTEMBER,21,22,23,24,26,27,28,29,31,32
OCTOBER,22,23,24,25,27,28,29,30,32,33
NOVEMBER,23,24,25,26,28,29,30,31,33,34
DECEMBER,24,25,26,27,29,30,31,32,34,35
